Company,Symbol:Sector,NYSE,NASDAQ,,Ticker symbol,Company
Huntington Bancshares,Financials,HBAN.N,,,HBAN,Huntington Bancshares
Illinois Tool Works,Industrials,ITW.N,,,ITW,Illinois Tool Works
Ingersoll-Rand,Industrials,IR.N,,,IR,Ingersoll-Rand PLC
Integrys Energy Group,Utilities,TEG.N,,,TEG,Integrys Energy Group Inc.
Intel,Information Technology,,INTC.O,,INTC,Intel Corp.
IntercontinentalExchange,Financials,ICE.N,,,ICE,IntercontinentalExchange Inc.
International Bus. Machines,,IBM.N,,,IBM,International Bus. Machines
International Game Technology,Consumer Discretionary,IGT.N,,,IGT,International Game Technology
International Paper,Materials,IP.N,,,IP,International Paper
Interpublic Group,Consumer Discretionary,IPG.N,,,IPG,Interpublic Group
Intl Flavors & Fragrances,,IFF.N,,,IFF,Intl Flavors & Fragrances
Intuit,Information Technology,,INTU.O,,INTU,Intuit Inc.
Intuitive Surgical Inc.,,,ISRG.O,,ISRG,Intuitive Surgical Inc.
Invesco Ltd.,,IVZ.N,,,IVZ,Invesco Ltd.
Iron Mountain Incorporated,,IRM.N,,,IRM,Iron Mountain Incorporated
Jabil Circuit,Information Technology,JBL.N,,,JBL,Jabil Circuit
Jacobs Engineering Group,Industrials,JEC.N,,,JEC,Jacobs Engineering Group
Johnson & Johnson,Health Care,JNJ.N,,,JNJ,Johnson & Johnson
Johnson Controls,Consumer Discretionary,JCI.N,,,JCI,Johnson Controls
Joy Global Inc.,,JOY.N,,,JOY,Joy Global Inc.
JPMorgan Chase,Financials,JPM.N,,,JPM,JPMorgan Chase & Co.
Juniper Networks,Information Technology,JNPR.N,,,JNPR,Juniper Networks
Kansas City Southern,,KSU.N,,,KSU,Kansas City Southern
Kellogg,Consumer Staples,K.N,,,K,Kellogg Co.
KeyCorp,Financials,KEY.N,,,KEY,KeyCorp
Kimberly-Clark,Consumer Staples,KMB.N,,,KMB,Kimberly-Clark
Kimco Realty,Financials,KIM.N,,,KIM,Kimco Realty
Kinder Morgan,,KMI.N,,,KMI,Kinder Morgan
KLA-Tencor,Information Technology,,KLAC.O,,KLAC,KLA-Tencor Corp.
Kohl's,Consumer Discretionary,KSS.N,,,KSS,Kohl's Corp.
Kraft Foods,Consumer Staples,,KRFT.O,,KRFT,Kraft Foods Group
Kroger,Consumer Staples,KR.N,,,KR,Kroger Co.
L Brands Inc.,,LB.N,,,LB,L Brands Inc.
L-3 Communications Holdings,Industrials,LLL.N,,,LLL,L-3 Communications Holdings
Laboratory Corp. of America Holdings,Health Care,LH.N,,,LH,Laboratory Corp. of America Holding
Lam Research,,,LRCX.O,,LRCX,Lam Research
Legg Mason,Financials,LM.N,,,LM,Legg Mason
Leggett & Platt,Consumer Discretionary,LEG.N,,,LEG,Leggett & Platt
Lennar,Consumer Discretionary,LEN.N,,,LEN,Lennar Corp.
Leucadia National,Financials,LUK.N,,,LUK,Leucadia National Corp.
Lilly (Eli) & Co.,,LLY.N,,,LLY,Lilly (Eli) & Co.
Lincoln National,Financials,LNC.N,,,LNC,Lincoln National
Linear Technology,Information Technology,,LLTC.O,,LLTC,Linear Technology Corp.
Lockheed Martin,Industrials,LMT.N,,,LMT,Lockheed Martin Corp.
Loews Corp.,,L.N,,,L,Loews Corp.
Lorillard Inc.,,LO.N,,,LO,Lorillard Inc.
Lowe's Companies,Consumer Discretionary,LOW.N,,,LOW,Lowe's Cos.
LSI,Information Technology,LSI.N,,,LSI,LSI Corporation
LyondellBasell,,LYB.N,,,LYB,LyondellBasell
M&T Bank,Financials,MTB.N,,,MTB,M&T Bank Corp.
Macerich,,MAC.N,,,MAC,Macerich
Macy's,Consumer Discretionary,M.N,,,M,Macy's Inc.
Marathon Oil,Energy,MRO.N,,,MRO,Marathon Oil Corp.
Marathon Petroleum,,MPC.N,,,MPC,Marathon Petroleum
Marriott International,Consumer Discretionary,,MAR.O,,MAR,Marriott Int'l.
Marsh & McLennan,Financials,MMC.N,,,MMC,Marsh & McLennan
Masco,Industrials,MAS.N,,,MAS,Masco Corp.
